 === WAV SUMMARY: FIELD 6 ===


 WAVEFRONT ABERRATION:

 Field  Wavel.  Rel.Wgt        RMS/lambda
     6      1     0.135           0.42446
     6      2     1.000           1.02767
     6      3     0.302           0.52679
                               ----------
                                  1.02619
 field wavelength pupil_x pupil_y opd path_s1_s15 opl_s1_s15 path_s1_s16 opl_s1_s16
 6 1 0.0E+00 -1 -0.1048751270360526E-04 44.4152054011107396 65.7066491375719721 55.5275954894634651 76.8190392259246977
 6 1 0.0E+00 -0.75 -0.7421182480982225E-05 44.6121168366372274 66.2092538446053283 55.4308133985180973 77.0279504064862124
 6 1 0.0E+00 -0.5 -0.5317626957435095E-05 44.7550594437503761 66.5597550728656699 55.3153218192946028 77.1200174484098966
 6 1 0.0E+00 -0.25 -0.3744450722820147E-05 44.8235090911109921 66.7443265916067219 55.1585306124302122 77.0793481129259419
 6 1 0.0E+00 0.0E+00 -0.2705162209792888E-05 44.8003925821358706 66.7461689125193942 54.941792434908777 76.8875687652922863
 6 1 0.0E+00 0.25 -0.2015629981144684E-05 44.6712139708725218 66.5477663664779016 54.6497373838844638 76.5262897794898436
 6 1 0.0E+00 0.5 -0.1530819211836842E-05 44.4231504130560566 66.130756397795281 54.2690038444027181 75.9766098291419354
 6 1 0.0E+00 0.75 -0.1765589104252285E-05 44.0455879907286771 65.4763507576313231 53.7881402178515771 75.218902984754223
 6 1 0.0E+00 1 -0.3527438551031992E-05 43.5338824870623995 64.567258683690639 53.2016103792494448 74.2349865758776843
 6 1 -0.75 0.0E+00 -0.3966003916389127E-05 44.3066604189716173 65.8094047126146791 54.5895832065632263 76.0923275002062809
 6 1 0.75 0.0E+00 -0.3970059410107751E-05 44.3066415461143208 65.8093630140205619 54.5895878049821874 76.0923092728884143
 6 2 0.0E+00 -1 0.0E+00 44.4218861403559941 65.4022214592387883 55.5304628328658652 76.5107981517486593
 6 2 0.0E+00 -0.75 0.0E+00 44.6169601532521938 65.8996305379152716 55.4319676043537442 76.714637989016822
 6 2 0.0E+00 -0.5 0.0E+00 44.7588689622901299 66.2468564331851724 55.3158283391100483 76.8038158100050907
 6 2 0.0E+00 -0.25 0.0E+00 44.8267547305066145 66.4293443650299338 55.1589446391130878 76.7615342736363999
 6 2 0.0E+00 0.0E+00 0.0E+00 44.8032853741710539 66.4298607587121808 54.9423426095615639 76.5689179941026765
 6 2 0.0E+00 0.25 0.0E+00 44.6737318775869809 66.2305872567618508 54.6503715174761098 76.2072268966509796
 6 2 0.0E+00 0.5 0.0E+00 44.4250407874534901 65.8129395091318656 54.2694052606259945 75.6573039823043558
 6 2 0.0E+00 0.75 0.0E+00 44.0463421884020789 65.1579897157728567 53.7877396279856299 74.8993871553564077
 6 2 0.0E+00 1 0.0E+00 43.5325939199848619 64.2484314645747219 53.1994975991066212 73.9153351436964812
 6 2 -0.75 0.0E+00 0.0E+00 44.308642792219068 65.4944182715231875 54.5889438632480193 75.7747193425521459
 6 2 0.75 0.0E+00 0.0E+00 44.3086239274741018 65.4943767911928632 54.5889484231040143 75.7747012868227614
 6 3 0.0E+00 -1 -0.3080337208416495E-05 44.4228194160509844 65.2031578315737903 55.5270609196670648 76.3073993351898707
 6 3 0.0E+00 -0.75 -0.8121355321577539E-06 44.6179793732257366 65.6984501708227242 55.4294917498594799 76.5099625474564533
 6 3 0.0E+00 -0.5 -0.2237797431803301E-06 44.760118333600424 66.0444507710048327 55.3143598807839894 76.5986923181883981
 6 3 0.0E+00 -0.25 -0.4658067496166041E-06 44.8282979040338745 66.2262876378839849 55.158452091695743 76.5564418255458463
 6 3 0.0E+00 0.0E+00 -0.1062509376481557E-05 44.8050880865212235 66.2265239754435697 54.9426933572237175 76.3641292461460495
 6 3 0.0E+00 0.25 -0.1927764728293369E-05 44.6756503033688475 66.027193581867067 54.6513185762221596 76.0028618547203791
 6 3 0.0E+00 0.5 -0.2976792202957768E-05 44.426805055542296 65.6096005806014517 54.2705694270460413 75.4533649521052041
 6 3 0.0E+00 0.75 -0.3628594718918521E-05 44.0475249484405964 64.9547466073010895 53.7885916669207376 74.6958133257812165
 6 3 0.0E+00 1 -0.3199120627073171E-05 43.532508251957438 64.0453256921093583 53.1992835016823307 73.712100941834251
 6 3 -0.75 0.0E+00 -0.9316270634940338E-06 44.3092914679340311 65.291631302692906 54.5876000818753226 75.5699399166341976
 6 3 0.75 0.0E+00 -0.9270057290677869E-06 44.3092725350830676 65.2915898938693573 54.5876045011036268 75.5699218598899023
