 field wavelength surface chief_opl sample_opl
 6 1 2 6.8736612206857695 6.9949295692083986
 6 1 3 9.9568728444597916 9.7637726382799315
 6 1 4 13.7079534090584048 14.5068357405146937
 6 1 5 21.1726972834089047 20.6854375508155073
 6 1 6 22.2392508540635205 22.0064098200290772
 6 1 7 24.3689688731602061 24.071965728079519
 6 1 8 28.766078624099638 28.0792224044259449
 6 1 9 30.6057161894326377 29.2215629557004775
 6 1 10 35.7161947033746117 37.5539896211513167
 6 1 11 50.4151256131355865 48.3425670554220517
 6 1 12 53.8481302408978877 51.4538929597526931
 6 1 13 58.6839943569743951 57.3732492836467145
 6 1 14 64.2521837526013684 63.0234367471475991
 6 1 15 66.7461689125193942 65.4763507576313231
 6 1 16 76.8875687652922863 75.218902984754223
 6 2 2 6.8315934536642162 6.953411064847014
 6 2 3 9.9138012381077729 9.7214548068815319
 6 2 4 13.6310502077566955 14.4263362658768841
 6 2 5 21.0467585983997338 20.556684028032258
 6 2 6 22.1131151414879774 21.8787806168717509
 6 2 7 24.2425913406308915 23.9441321030419942
 6 2 8 28.6056445236632229 27.9186714517497698
 6 2 9 30.4445045816807038 29.0587541158734801
 6 2 10 35.5332489038382278 37.3597808389411341
 6 2 11 50.1353747375920591 48.0664860802830844
 6 2 12 53.5659799222698325 51.1716783798947574
 6 2 13 58.3740712805893907 57.060568431342233
 6 2 14 63.9434223968966222 62.7126506597610245
 6 2 15 66.4298607587121808 65.1579897157728567
 6 2 16 76.5689179941026765 74.8993871553564077
 6 3 2 6.8042463759092096 6.9264288911424776
 6 3 3 9.8858045431501438 9.6939443716675235
 6 3 4 13.5820922200712495 14.3752946806937292
 6 3 5 20.9660842684005999 20.4745059410232422
 6 3 6 22.0323006269973973 21.7974013166372487
 6 3 7 24.1615903844154616 23.862685008834589
 6 3 8 28.5029623634454623 27.8163235370647435
 6 3 9 30.3413251511573705 28.954738049041584
 6 3 10 35.4159267588237228 37.2373151819872703
 6 3 11 49.9554265687206538 47.8887474320768405
 6 3 12 53.3845330209885844 50.9894332275005411
 6 3 13 58.1750726835714573 56.8605525807125787
 6 3 14 63.74516263325404 62.5144683173047326
 6 3 15 66.2265239754435697 64.9547466073010895
 6 3 16 76.3641292461460495 74.6958133257812165
