 field wavelength surface y z cy cz
 6 1 1 -3.4160600850119569 0.2615604022445002 0.2292208476983448 0.9733744413022422
 6 1 2 -2.5707479088981442 0.094557301390839 0.3623018344116172 0.9320608246149907
 6 1 3 -1.4534193256519459 -0.0309935466813842 0.1861631320563023 0.9825188488079949
 6 1 4 -1.057401245961602 0.0244136267457966 0.1760430372301185 0.9843824709140219
 6 1 5 -0.3659100893277765 -0.0016761046753642 0.343123943640407 0.9392901358476273
 6 1 6 0.3532214105983478E-05 0.0E+00 0.343123943640407 0.9392901358476274
 6 1 7 0.7307190180782885 0.3088117413052593E-03 0.1779894137373887 0.9840324022091044
 6 1 8 1.1376338889772968 -0.0065322418214357 0.3314189854465464 0.9434836808793149
 6 1 9 1.7471319751014525 -0.0714128822274021 0.2397230927315518 0.9708413046483032
 6 1 10 2.5197682038249392 0.1794408882985805 0.1814704539417362 0.9833963973628235
 6 1 11 3.9503375126597549 -0.2734895982386218 0.2189888678103797 0.9757273572956369
 6 1 12 4.7020020883270099 -0.5963554183232028 0.2340911577834318 0.9722146521461257
 6 1 13 5.3826828276602736 -0.269389229255575 0.3231669477345464 0.9463419698459623
 6 1 14 7.1821300548830092 0.0E+00 0.2121617065095045 0.9772345728078671
 6 1 15 7.5294967361904952 0.0E+00 0.3231669477345465 0.9463419698459624
 6 1 16 10.8066235644190023 0.0E+00 0.3231669477345465 0.9463419698459624
 6 2 1 -3.4237898220584433 0.2627524607277341 0.2298554703881425 0.973224775030232
 6 2 2 -2.5761936470366296 0.0949588818193114 0.3615626463566639 0.9323478174799177
 6 2 3 -1.461782443872107 -0.031351417335125 0.187792665651686 0.9822086920443303
 6 2 4 -1.0620620844144089 0.0246294390696935 0.1772443688429787 0.9841668728998423
 6 2 5 -0.365738204501654 -0.0016745303250514 0.3429792566742128 0.9393429775599568
 6 2 6 -0.3000356568749751E-07 0.0E+00 0.3429792566742128 0.9393429775599568
 6 2 7 0.7303661338838989 0.3085135459643951E-03 0.1793431158397745 0.9837865860037336
 6 2 8 1.1404723565652677 -0.0065648802707616 0.3314386774993609 0.9434767633903209
 6 2 9 1.7499417023009798 -0.071643144404691 0.2406126916267566 0.9706212096529354
 6 2 10 2.5258957909087516 0.1803191560449431 0.1824802262597252 0.9832095234608946
 6 2 11 3.9641777328911276 -0.2754186375920975 0.2199416779957265 0.9755130231218978
 6 2 12 4.718710793749997 -0.600803021061647 0.2348938604103654 0.9720210256684347
 6 2 13 5.4024638277446204 -0.2713449660650323 0.3227279650688887 0.946491764656457
 6 2 14 7.1998491802645948 0.0E+00 0.2125276306097376 0.9771550574127992
 6 2 15 7.5478432948075938 0.0E+00 0.3227279650688887 0.9464917646564569
 6 2 16 10.8200006041021624 0.0E+00 0.3227279650688887 0.9464917646564569
 6 3 1 -3.4285804759295702 0.2634926466306382 0.2302652169565553 0.9731279103283137
 6 3 2 -2.5795060809101784 0.0952035657237422 0.3610766189479503 0.932536152247792
 6 3 3 -1.4669992599884696 -0.031575694715428 0.1888037254503026 0.9820148437045577
 6 3 4 -1.064978336505656 0.0247649550227003 0.178008544213538 0.9840289417425572
 6 3 5 -0.3655785357908704 -0.0016730685289876 0.3428456543265486 0.9393917485849022
 6 3 6 -0.2343410610949892E-05 0.0E+00 0.3428456543265486 0.9393917485849022
 6 3 7 0.7300413131935466 0.3082391923734384E-03 0.1801941857765237 0.9836310565513553
 6 3 8 1.1421553393487143 -0.0065842706575667 0.3314115120099574 0.9434863060518015
 6 3 9 1.7515296104929869 -0.071773441069835 0.2411584849747278 0.97048574699719
 6 3 10 2.5295138837199507 0.1808387599660004 0.1831307588106212 0.9830885642593172
 6 3 11 3.9727800375826865 -0.2766210864336021 0.2205552963295453 0.9753744723238276
 6 3 12 4.7291661613511851 -0.6035953026719123 0.235404776961949 0.9718974179323117
 6 3 13 5.4148720189114004 -0.2725747897298245 0.3224548506939152 0.9465848452536956
 6 3 14 7.2109786490985419 0.0E+00 0.212790822883568 0.9770977769376682
 6 3 15 7.5594241421184574 0.0E+00 0.3224548506939153 0.9465848452536957
 6 3 16 10.8284908401442053 0.0E+00 0.3224548506939153 0.9465848452536957
