 field wavelength surface x y z cx cy cz
 6 1 1 0.4228701173250198E-10 2.6136964731669576 0.1527472382459578 -0.285768239089071E-11 0.1016768587306775 0.994817478937047
 6 1 2 0.3156586952532102E-10 2.9951566610121407 0.1284179191319059 -0.4520934485520689E-11 0.2660504205827426 0.9639591141266033
 6 1 3 0.1905867159061575E-10 3.731187072754925 -0.2047822234585257 -0.2320972069422394E-11 0.1986241718534605 0.9800757309287519
 6 1 4 0.1280636233181677E-10 4.2662472594161649 0.4007077803036854 -0.219620086626967E-11 0.1697299745593557 0.9854906066199112
 6 1 5 0.5674117660510926E-11 4.8174517167151985 -0.2915856403545698 -0.4302357636622293E-11 0.2137107109267138 0.9768969915171194
 6 1 6 -0.1416205719132446E-13 5.1000052385499242 0.0E+00 -0.4302357636622293E-11 0.2137107109267138 0.9768969915171194
 6 1 7 -0.8900589813222992E-11 5.5414201449200462 0.0177598594562594 -0.223201823757717E-11 0.1080029704174953 0.9941505712823373
 6 1 8 -0.1354981734620067E-10 5.7663871166296721 -0.1679650049988144 -0.4166148465038163E-11 0.1538474563842474 0.988094610937686
 6 1 9 -0.18300980700197E-10 5.9418379924235785 -0.8411211238541718 -0.2943933989644237E-11 0.200090506042361 0.9797774182903543
 6 1 10 -0.3378301944318333E-10 6.9941064799469457 1.4332886820091986 -0.2172077008772297E-11 0.1013234765230055 0.9948535334938966
 6 1 11 -0.4634073062566553E-10 7.5799010668985849 -1.0202839486107846 -0.2614927460096653E-11 -0.0457077052591027 0.9989548566776907
 6 1 12 -0.5447554078822523E-10 7.4377084015482096 -1.5846073537415251 -0.2892323786017075E-11 0.1527886764549655 0.9882588832624473
 6 1 13 -0.647730529077504E-10 7.9816804337001885 -0.5661189062094032 -0.4145990022007764E-11 0.1721849910530103 0.9850646318166508
 6 1 14 -0.8820001668361385E-10 8.9546136840780619 0.0E+00 -0.2721875873776167E-11 0.1130408347549748 0.9935903429874396
 6 1 15 -0.9258311222070173E-10 9.136645783005422 0.0E+00 -0.4145990022007764E-11 0.1721849910530103 0.9850646318166507
 6 1 16 -0.1329734923531145E-09 10.8140780018025353 0.0E+00 -0.4145990022007764E-11 0.1721849910530103 0.9850646318166507
 6 2 1 0.4240461671076823E-10 2.6012715551742773 0.151293521175953 -0.2865876203079859E-11 0.1033291599423327 0.9946472162056312
 6 2 2 0.316482039060491E-10 2.9890939942280439 0.1278976166859458 -0.4511542509762902E-11 0.2667858179565299 0.9637558442558288
 6 2 3 0.191600568949772E-10 3.7275688080861764 -0.2043840497725138 -0.2341373232260846E-11 0.1998369696431321 0.9798291614173615
 6 2 4 0.1285229447221457E-10 4.2659383898450551 0.4006492448617252 -0.2211275918060356E-11 0.1699290566230733 0.9854562982269647
 6 2 5 0.5670809641830421E-11 4.8178111491027629 -0.2916293126852687 -0.4300358916034661E-11 0.2134438523246225 0.976955332604733
 6 2 6 -0.1468021184449755E-13 5.1000045381699062 0.0E+00 -0.4300358916034661E-11 0.2134438523246225 0.976955332604733
 6 2 7 -0.8896432890142142E-11 5.5408411157824675 0.0177561481171296 -0.2248893825769398E-11 0.1087782330485265 0.9940660420791168
 6 2 8 -0.1358108014095528E-10 5.7674359174400109 -0.1680261620147872 -0.416610901659166E-11 0.1545569402366118 0.9879838825733427
 6 2 9 -0.1833078880762091E-10 5.9436436056237767 -0.8416428650592838 -0.2955413338520656E-11 0.2001525938288138 0.9797647366503849
 6 2 10 -0.3387815775243332E-10 6.9965745716440493 1.4343448082244992 -0.2185030908584911E-11 0.1018702388824791 0.9947976952275407
 6 2 11 -0.4650589572652764E-10 7.5853033987339344 -1.0217657020197635 -0.2628367060233839E-11 -0.0428280105208033 0.9990824598174221
 6 2 12 -0.5466748088251871E-10 7.4523141902570487 -1.5914069594298434 -0.2902270586293177E-11 0.1527892967785827 0.9882587873577986
 6 2 13 -0.6501476171214792E-10 7.9970441575440674 -0.5680307265471271 -0.4138938545328638E-11 0.1718157143333796 0.9851291084462542
 6 2 14 -0.8840838270871746E-10 8.9681607030908435 0.0E+00 -0.272563551190937E-11 0.1131466455378237 0.9935782991810653
 6 2 15 -0.9279758567606231E-10 9.1503654000027339 0.0E+00 -0.4138938545328638E-11 0.1718157143333796 0.9851291084462541
 6 2 16 -0.1331166310241204E-09 10.8240905596901378 0.0E+00 -0.4138938545328638E-11 0.1718157143333796 0.9851291084462541
 6 3 1 0.4247807864060199E-10 2.5926913350688165 0.1502937328192182 -0.2871151894566708E-11 0.104421669495152 0.9945331140489215
 6 3 2 0.3169882264042318E-10 2.9847248981778733 0.1275233161362963 -0.4505346110820765E-11 0.2672684769382082 0.9636221049950701
 6 3 3 0.1922293664310206E-10 3.7248258730952664 -0.2040824627087465 -0.235401610085984E-11 0.2006102853370738 0.979671125131785
 6 3 4 0.1288111582048117E-10 4.2652786271430703 0.4005242245839979 -0.2220846413153133E-11 0.1701324833645467 0.9854211983229364
 6 3 5 0.5668021867022912E-11 4.817852447545766 -0.2916343308067391 -0.4298530593687646E-11 0.2134128354559167 0.9769621086115189
 6 3 6 -0.1503343050633631E-13 5.1000039685514613 0.0E+00 -0.4298530593687646E-11 0.2134128354559167 0.9769621086115189
 6 3 7 -0.8892946493267807E-11 5.5407733334217122 0.0177557136855055 -0.2259482728618403E-11 0.1093510410261317 0.9940031940725851
 6 3 8 -0.1359979980189014E-10 5.7685685286387454 -0.1680922186631673 -0.4165543248622148E-11 0.1551424991326863 0.9878921018830266
 6 3 9 -0.1834745313043384E-10 5.9453912762238348 -0.8421480270386139 -0.2962446919147429E-11 0.2002844445032267 0.9797377921107431
 6 3 10 -0.3393743013304643E-10 6.9993949323247699 1.4355522143717039 -0.2193320411370384E-11 0.1023139710753084 0.9947521557266417
 6 3 11 -0.4660788063461964E-10 7.5904458792856477 -1.0231772379431554 -0.2636944189709245E-11 -0.0408457234079217 0.999165465215488
 6 3 12 -0.5478502011474204E-10 7.4637836697567064 -1.5967588138010946 -0.2908536513664429E-11 0.1529428809147711 0.9882350303331136
 6 3 13 -0.6516601932928848E-10 8.0096595489789966 -0.569601074684281 -0.4134607639881671E-11 0.1718301182056586 0.9851265961679385
 6 3 14 -0.8854181208938679E-10 8.9811338901896711 0.0E+00 -0.2728464341900222E-11 0.1133922227266182 0.9935503026143752
 6 3 15 -0.9293569424668984E-10 9.1637391955126031 0.0E+00 -0.4134607639881671E-11 0.1718301182056586 0.9851265961679384
 6 3 16 -0.1332126532379009E-09 10.8376089377506695 0.0E+00 -0.4134607639881671E-11 0.1718301182056586 0.9851265961679384
