 field wavelength surface x y z cx cy cz
 6 1 1 5.8558850621172844 -3.1237866133561236 1.0040367912332933 -0.1240373497054672 0.2244043998805523 0.9665699153151275
 6 1 2 5.43769660093181 -2.3672134449344049 0.5062228574043299 -0.0935783336246078 0.3584066324994897 0.928863704348715
 6 1 3 5.2308382875002639 -1.5749425351003314 -0.4404901065159121 0.0178265561282733 0.1819651576804592 0.983143374735817
 6 1 4 5.2873374858807729 -0.9982251103688624 0.6407990452720704 -0.8505031105543251E-03 0.1720542860612329 0.9850871023886255
 6 1 5 5.2848356896418398 -0.4921190651130861 -0.3542304840809583 -0.1271031577843685 0.3386929376958991 0.9322724286581493
 6 1 6 5.1002040673784936 -0.129506191027362E-03 0.0E+00 -0.1271031577843685 0.3386929376958991 0.9322724286581492
 6 1 7 4.8256518164994766 0.7314723676112924 0.013777613257862 -0.0688635642627754 0.1756836626941122 0.98203516239461
 6 1 8 4.6765665606340878 1.1118163722314316 -0.1166893519182328 -0.177841344003446 0.3270903343355998 0.9281079514513781
 6 1 9 4.409021135714017 1.6038927393858009 -0.5204390163497825 -0.0305866753656127 0.2358573480610769 0.9713062167286252
 6 1 10 4.2793178142454886 2.6040498689401019 0.7201986627523613 -0.0650446447789472 0.1769535927747985 0.9820675232333425
 6 1 11 3.8179212139136571 3.8592767427321988 -0.5187176305275463 -0.241018311648054 0.2088126570453837 0.9477908248701131
 6 1 12 2.9608974842367641 4.6017821603541531 -0.820504896061391 -0.0762928464387055 0.2321474539238107 0.9696839491396012
 6 1 13 2.725647321149137 5.3176123979876424 -0.3304695542575141 -0.1601297982376984 0.3213469441152228 0.9333244822804997
 6 1 14 1.8111025615925991 7.1529120547313356 0.0E+00 -0.1051265034846291 0.2109668594608319 0.9718237507255779
 6 1 15 1.6380234354137788 7.5002455860278427 0.0E+00 -0.1601297982376984 0.3213469441152229 0.9333244822804996
 6 1 16 -0.0084469083379701 10.8043664889692224 0.0E+00 -0.1601297982376984 0.3213469441152229 0.9333244822804996
 6 2 1 5.8548173927933878 -3.1330045132971032 1.0050905403937911 -0.1231340716298215 0.2251151953259391 0.9665201235552348
 6 2 2 5.4396872273367416 -2.3740585363995983 0.5070073301695524 -0.0922546736259173 0.3577576444340706 0.9292462230448724
 6 2 3 5.2360408148368087 -1.5843309489513087 -0.441739847458122 0.01730779519123 0.1836331298312427 0.9828424664482098
 6 2 4 5.2909525506000969 -1.001725608914227 0.6418148095957839 -0.0019377004341519 0.1732938177936722 0.9848682643031611
 6 2 5 5.285253550603052 -0.492048545479893 -0.3542853931914629 -0.1273930143056017 0.3386318600845334 0.9322550526770143
 6 2 6 5.1001899266802964 -0.1185951247458239E-03 0.0E+00 -0.1273930143056017 0.3386318600845334 0.9322550526770143
 6 2 7 4.8250069396892021 0.7313636392532701 0.0137739218399182 -0.0695200577336247 0.1770626227768352 0.9817412027556458
 6 2 8 4.6744504026905211 1.1148203880857788 -0.1166231599596683 -0.1772860354767449 0.3271891826498024 0.9281793470994135
 6 2 9 4.4077685723739153 1.6069934453387236 -0.5204129819786012 -0.0315657590184475 0.2368041117244705 0.9710444971925716
 6 2 10 4.2738860856935155 2.6113704766430281 0.7199560490472381 -0.0656535969681187 0.1780072933057814 0.9818365488894257
 6 2 11 3.8080928765603481 3.8742805413919887 -0.5194473909092761 -0.2394760875551907 0.2098883018955956 0.9479441461482017
 6 2 12 2.9575729660993595 4.6197168876990489 -0.8247266883263855 -0.0771820914644051 0.2329747498107125 0.9694151281612107
 6 2 13 2.7193159471106507 5.3388975724455845 -0.3321936509861634 -0.1600253989335766 0.3209308872317315 0.9334855313912498
 6 2 14 1.8052295606634794 7.1720975329762595 0.0E+00 -0.1053823112771508 0.2113441921225561 0.9717140530659986
 6 2 15 1.6317096887305484 7.5200915815640519 0.0E+00 -0.1600253989335766 0.3209308872317315 0.9334855313912499
 6 2 16 -0.0134033398492475 10.8193652429766622 0.0E+00 -0.1600253989335766 0.3209308872317315 0.9334855313912499
 6 3 1 5.8534321289349069 -3.1387825559162463 1.0055575718364196 -0.1225260979611882 0.2255744685577095 0.9664903074802729
 6 3 2 5.4403480271524858 -2.3782815012044178 0.5074025435583662 -0.0913834305274543 0.3573298209585546 0.9294968895476529
 6 3 3 5.2387870078338068 -1.5901324622631723 -0.4424408861596669 0.0170016532423257 0.1846709249566688 0.9826533433834519
 6 3 4 5.2927590848124577 -1.0038910400074279 0.6423416109930815 -0.0025556950133032 0.1740836335565788 0.984727554682379
 6 3 5 5.2852427766065961 -0.4919104489758014 -0.3542822385568067 -0.1273951666511687 0.3385521069531924 0.9322837241910188
 6 3 6 5.1001821486058523 -0.1126267296305272E-03 0.0E+00 -0.1273951666511687 0.3385521069531924 0.9322837241910188
 6 3 7 4.8250030002836954 0.7311747753203016 0.0137737400976965 -0.0698474982606842 0.1779303337519649 0.9815610644874002
 6 3 8 4.6737084875206731 1.1165841861240406 -0.1166080018223643 -0.1767553058120255 0.3272135797418174 0.9282719618192947
 6 3 9 4.4078838452283202 1.6086850166392581 -0.5205675205082985 -0.0320747409600323 0.2373845670745903 0.9708860789542488
 6 3 10 4.2718102111408749 2.6157634762397564 0.7201091140056644 -0.0659460611516675 0.1786836790279104 0.9816940765165241
 6 3 11 3.8039319839987691 3.883499585156609 -0.5201552277149233 -0.2383469989267133 0.2105827854096632 0.9480746798600502
 6 3 12 2.9581302796083642 4.6307767886322759 -0.8277877400835754 -0.0775904040274123 0.2335005752613172 0.9692560087796706
 6 3 13 2.7184265218347559 5.3521413186154261 -0.3334186494540958 -0.1597350022687399 0.3206776977347044 0.9336222700995169
 6 3 14 1.8059229672870694 7.1840475063073388 0.0E+00 -0.1054105481834985 0.211618063845313 0.9716513836690686
 6 3 15 1.6323454065196163 7.5325149791513022 0.0E+00 -0.1597350022687399 0.3206776977347044 0.9336222700995171
 6 3 16 -0.0095417434096221 10.8287029385923184 0.0E+00 -0.1597350022687399 0.3206776977347044 0.9336222700995171
