mode,totalMs,traceMs,intersectMs,surfaceNormalMs,casesCompleted,casesPlanned,errorCount,rustWasmReady,firstError
js,548.925,472.815,0.000,0.000,4,4,0,,
rust-wasm,531.190,465.179,0.000,0.000,4,4,0,true,
