mode,totalMs,traceMs,intersectMs,surfaceNormalMs,casesCompleted,casesPlanned,errorCount,rustWasmReady,firstError
js,4349.083,3844.440,0.000,0.000,12,12,0,,
wasm-strict,4361.784,3872.777,0.000,0.000,12,12,0,,
rust-wasm,4385.211,3881.887,0.000,0.000,12,12,0,true,
