mode,totalMs,traceMs,intersectMs,surfaceNormalMs,casesCompleted,casesPlanned,errorCount,rustWasmReady,firstError
js,561.354,486.805,0.000,0.000,4,4,0,,
rust-wasm,533.203,469.747,0.000,0.000,4,4,0,true,
